"Timestamp"," 1. What is your year of study? ","2. Are you a domestic or international student? (Domestic meaning you lived or resided in Canada 3+ years before starting university. International meaning you lived abroad prior to beginning university studies). ","3. Which degree are you currently pursuing?","4.  What do you identify as? (Self-Identification is voluntary and you can choose to select the option of ""I do not wish to answer"")","5. Do you identify as someone with Accessibility Needs? ","6. What is your CGPA?","7. What kind of classes are you currently attending? ","8. For in-person classes, on average, how long is your commute to UTM? (One-way)","9. The location of where I am currently living impacts my attendance for in-person class (on-campus vs. off-campus). ","10. My type of commute to school determines whether I’m more likely to attend an in-person class (Walking, Bus, Train, Car, etc.) ","11. My commute time impacts my in-person class attendance. ","12. What would be your most common reasons for skipping an in-person class? Please select your top 3.   ","13. What would be your most common reasons for skipping online classes? Please select your top 3. "," Traditional style lecture (professor teaching material through educational talk, slides, and physical examples)  ","Hybrid style lecture including collaborative group work and presentations","Live Lectures (Synchronous) ","Recorded lectures with Office Hours (Asynchronous) ","14. On average, for a particular course in each semester how often do you say you skip (online or in-person) classes? ","15. Which classes based on Eastern Time are you more likely to skip?","16. Are you more likely to attend class (online or in-person) if the professor requires mandatory participation during lecture (class discussions, quizzes using software such as Quercus, TopHat, etc.)?  ","18. Do you feel your attendance affects your overall CGPA? ","19. Generally, do you classify yourself as one who attends or skips class? "
"2020/10/24 8:05:10 AM AST","First","Domestic","Honours Bachelor of Science","Female","Yes","N/A (if you have not completed your first semester)","Only online courses","","","","","","Accessibility Needs;Poor sleep habits;Technical issues (connection, equipment, etc.)","4","4","4","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2020/12/01 4:56:38 PM AST","First","Domestic","Honours Bachelor of Arts","Male","I do not wish to answer","N/A (if you have not completed your first semester)","Only online courses","","","","","","Dislike of teaching method","4","3","2","1","Rarely (25% of the time)","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 3:37:34 PM AST","Fourth","Domestic","Bachelor of Commerce","Male","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits","3","3","3","4","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Attend"
"2021/02/10 3:38:35 PM AST","More than 4","Domestic","Honours Bachelor of Science","Male","Yes","3.0 - 3.49","Only online courses","","","","","","Accessibility Needs;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","3","2","1","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:39:29 PM AST","Third","Domestic","Honours Bachelor of Science","Female","Yes","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Accessibility Needs;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","1","3","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:39:43 PM AST","More than 4","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","1","3","1","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:39:57 PM AST","More than 4","International","Bachelor of Commerce","Male","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone;Dislike of teaching method;Accessibility Needs","4","4","1","1","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 3:41:07 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;General sickness (headaches, cold, fever, etc.)","2","1","3","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 3:42:02 PM AST","Fourth","International","Honours Bachelor of Science","Male","No","1.5 - 1.99","A combination of online and in person courses","< 15 min","Strongly Disagree","Disagree","Strongly Disagree","To Study (Prepare for a Test or Assignment);Instructor posts class material online (lecture notes, recordings, etc.);General sickness (headaches, cold, fever, etc.);COVID-19 precautions (cases going up, risk of infection, etc.)","To Work;Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","1","1","3","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 3:42:51 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Male","No","3.0 - 3.49","Only online courses","","","","","","To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","2","1","1","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
